Frame         Time          Elec          VdW           Nonbond       Total         
564           564           +0            -338.365      -338.365      -338.365      
565           565           +0            -344.434      -344.434      -344.434      
566           566           +0            -327.731      -327.731      -327.731      
567           567           +0            -347.379      -347.379      -347.379      
568           568           +0            -347.869      -347.869      -347.869      
569           569           +0            -337.978      -337.978      -337.978      
570           570           +0            -323.638      -323.638      -323.638      
571           571           +0            -339.385      -339.385      -339.385      
572           572           +0            -361.964      -361.964      -361.964      
573           573           +0            -318.476      -318.476      -318.476      
574           574           +0            -335.459      -335.459      -335.459      
575           575           +0            -340.382      -340.382      -340.382      
576           576           +0            -333.618      -333.618      -333.618      
577           577           +0            -331.95       -331.95       -331.95       
578           578           +0            -349.895      -349.895      -349.895      
579           579           +0            -341.531      -341.531      -341.531      
580           580           +0            -338.11       -338.11       -338.11       
581           581           +0            -349.37       -349.37       -349.37       
582           582           +0            -324.228      -324.228      -324.228      
583           583           +0            -343.778      -343.778      -343.778      
584           584           +0            -329.563      -329.563      -329.563      
585           585           +0            -335.816      -335.816      -335.816      
586           586           +0            -348.914      -348.914      -348.914      
587           587           +0            -334.572      -334.572      -334.572      
588           588           +0            -328.189      -328.189      -328.189      
589           589           +0            -336.12       -336.12       -336.12       
590           590           +0            -344.808      -344.808      -344.808      
591           591           +0            -322.64       -322.64       -322.64       
592           592           +0            -324.386      -324.386      -324.386      
593           593           +0            -332.964      -332.964      -332.964      
594           594           +0            -344.671      -344.671      -344.671      
595           595           +0            -319.819      -319.819      -319.819      
596           596           +0            -333.425      -333.425      -333.425      
597           597           +0            -345.342      -345.342      -345.342      
598           598           +0            -328.6        -328.6        -328.6        
599           599           +0            -355.565      -355.565      -355.565      
600           600           +0            -327.951      -327.951      -327.951      
601           601           +0            -340.802      -340.802      -340.802      
