Frame         Time          Elec          VdW           Nonbond       Total         
428           428           +0            -322.591      -322.591      -322.591      
429           429           +0            -328.904      -328.904      -328.904      
430           430           +0            -334.816      -334.816      -334.816      
431           431           +0            -333.314      -333.314      -333.314      
432           432           +0            -322.849      -322.849      -322.849      
433           433           +0            -321.526      -321.526      -321.526      
434           434           +0            -305.451      -305.451      -305.451      
435           435           +0            -316.512      -316.512      -316.512      
436           436           +0            -330.768      -330.768      -330.768      
437           437           +0            -340.17       -340.17       -340.17       
438           438           +0            -330.356      -330.356      -330.356      
439           439           +0            -329.525      -329.525      -329.525      
440           440           +0            -312.702      -312.702      -312.702      
441           441           +0            -332.149      -332.149      -332.149      
442           442           +0            -327.592      -327.592      -327.592      
443           443           +0            -333.103      -333.103      -333.103      
444           444           +0            -318.547      -318.547      -318.547      
445           445           +0            -341.358      -341.358      -341.358      
446           446           +0            -310.287      -310.287      -310.287      
447           447           +0            -325.765      -325.765      -325.765      
448           448           +0            -317.566      -317.566      -317.566      
449           449           +0            -322.289      -322.289      -322.289      
450           450           +0            -323.971      -323.971      -323.971      
451           451           +0            -310.864      -310.864      -310.864      
452           452           +0            -344.568      -344.568      -344.568      
453           453           +0            -345.658      -345.658      -345.658      
454           454           +0            -326.966      -326.966      -326.966      
455           455           +0            -324.553      -324.553      -324.553      
456           456           +0            -337.049      -337.049      -337.049      
457           457           +0            -328.58       -328.58       -328.58       
458           458           +0            -335.674      -335.674      -335.674      
459           459           +0            -328.897      -328.897      -328.897      
460           460           +0            -303.751      -303.751      -303.751      
461           461           +0            -316.733      -316.733      -316.733      
462           462           +0            -360.626      -360.626      -360.626      
463           463           +0            -353.673      -353.673      -353.673      
464           464           +0            -322.183      -322.183      -322.183      
465           465           +0            -345.005      -345.005      -345.005      
466           466           +0            -339.448      -339.448      -339.448      
467           467           +0            -339.297      -339.297      -339.297      
468           468           +0            -345.603      -345.603      -345.603      
469           469           +0            -340.829      -340.829      -340.829      
470           470           +0            -341.094      -341.094      -341.094      
471           471           +0            -350.925      -350.925      -350.925      
472           472           +0            -326.644      -326.644      -326.644      
473           473           +0            -341.184      -341.184      -341.184      
474           474           +0            -338.324      -338.324      -338.324      
475           475           +0            -352.897      -352.897      -352.897      
476           476           +0            -337.639      -337.639      -337.639      
477           477           +0            -345.385      -345.385      -345.385      
478           478           +0            -324.525      -324.525      -324.525      
479           479           +0            -322.125      -322.125      -322.125      
480           480           +0            -311.975      -311.975      -311.975      
481           481           +0            -337.811      -337.811      -337.811      
482           482           +0            -352.437      -352.437      -352.437      
483           483           +0            -348.087      -348.087      -348.087      
484           484           +0            -340.942      -340.942      -340.942      
485           485           +0            -338.829      -338.829      -338.829      
486           486           +0            -349.57       -349.57       -349.57       
487           487           +0            -356.755      -356.755      -356.755      
488           488           +0            -334.525      -334.525      -334.525      
489           489           +0            -350.885      -350.885      -350.885      
490           490           +0            -330.098      -330.098      -330.098      
491           491           +0            -333.833      -333.833      -333.833      
492           492           +0            -337.115      -337.115      -337.115      
493           493           +0            -367.684      -367.684      -367.684      
494           494           +0            -349.17       -349.17       -349.17       
495           495           +0            -350.825      -350.825      -350.825      
496           496           +0            -345.454      -345.454      -345.454      
497           497           +0            -355.529      -355.529      -355.529      
498           498           +0            -348.998      -348.998      -348.998      
499           499           +0            -327.69       -327.69       -327.69       
500           500           +0            -351.334      -351.334      -351.334      
501           501           +0            -353.752      -353.752      -353.752      
502           502           +0            -352.929      -352.929      -352.929      
503           503           +0            -361.274      -361.274      -361.274      
